Keyword,Results,Free,Paid,Avg-Rating,Avg-Reviews,Top-3
adscale,0,2,1,3.7,104.0,Digital Ads & Store Analytics|ADCELL Tracking & Remarketing|POS fiscal printer
advanced shipping rules,719,417,302,4.57,534.0,Advanced Shipping Rules|Multiple Google Shopping Feeds|TrueProfit ‑ Profit Tracking
advanced shipping,706,415,291,4.39,585.0,Advanced Shipping Rules|Advanced Shipping Manager|Advanced Shipping Cost Plus
advertising,324,182,142,4.49,464.0,Microsoft Advertising|Video Ad Machine|Free Traffic Ads & Advertising
adwords,92,49,43,4.71,483.0,Clever ‑ Google Ads & Shopping|Tracking for Google Ads|Google Shopping Feed
affiliate,210,127,83,4.69,268.0,Affiliate Marketing Goaffpro|Secomapp: Affiliate Marketing|Refersion: Affiliate Marketing
affiliate marketing,483,284,199,4.5,304.0,Affiliate Marketing Goaffpro|Secomapp: Affiliate Marketing|Refersion: Affiliate Marketing
affirm,70,35,35,4.55,231.0,Affirm pay‑over‑time messaging|Sell with Influencers ‑ Closed|Trust Me ‑ Free Trust Badges
affiliatly,49,25,24,4.38,200.0,Affiliatly Affiliate Marketing|GH: Affiliate Marketing App|Affiliate Marketing
affiliate program,155,95,60,4.7,259.0,Secomapp: Affiliate Marketing|Affiliate Marketing Goaffpro|LeadDyno Affiliate Marketing
affiliates,210,127,83,4.7,269.0,Affiliate Marketing Goaffpro|Secomapp: Affiliate Marketing|Refersion: Affiliate Marketing
afterpay,0,5,7,4.32,76.0,Afterpay Attract|Afterpay Install (Unofficial)|Sell with Influencers ‑ Closed
age verification,360,160,200,4.53,27.0,18 Plus Age Verification Popup|Age Check + Age Verification|Smart Age Verification
age,395,179,216,4.63,20.0,18 Plus Age Verification Popup|Age Checker Plus|Age Check + Age Verification
age check,345,143,202,4.65,605.0,Age Check + Age Verification|Age Check Popup|Age Check
algolia,0,3,0,3.77,13.0,Algolia Search and Discovery|Shopify Flow|Shoppy by MBurger
aliexpress,126,85,41,4.61,732.0,DSers‑AliExpress Dropshipping|LAI AliExpress Reviews|AliExpress Review Importer
ali reviews,628,330,298,4.74,903.0,Ali Reviews ‑ Product Reviews|Ali Reviews Product Review App|Product Reviews & Ali Reviews
aliexpress reviews,263,140,123,4.65,1305.0,LAI AliExpress Reviews|AliExpress Review Importer|AliExpress Reviews Free App
alibaba,0,12,5,4.51,183.0,Syncee ‑ Global Dropshipping|AliExpress Dropshipping&Source|Editorify ‑ Product Reviews
alireview,0,11,5,4.82,537.0,AliReviews ‑ Ali Reviews App|Ali Reviews ‑ Product Reviews|Ali Reviews Product Review App
aliexpress review,263,140,123,4.65,1305.0,LAI AliExpress Reviews|AliExpress Review Importer|AliExpress Reviews Free App
alipay,0,2,2,2.93,4.0,Beyond 别样|China Speed Up|Always Be Testing ‑ A/B Splits
ali orders,922,458,464,4.58,617.0,Ali Orders AliExpress Dropship|AliExpress Dropshipping&Source|DropCommerce: US Dropshipping
all over print,415,260,155,4.13,443.0,DropShipCN ‑ Print on Demand|Subliminator|Podify Dynamic Print on Demand
also bought,48,24,24,4.83,278.0,Also Bought • Cross Sell|Related Products | Also Bought|Related Products ‑ Also Bought
alt text,337,193,144,4.75,766.0,Alt Text|Bulk Image Edit ‑ Image SEO|SEO Alt Tag Alt Text Optimizer
alt,257,146,111,4.71,673.0,SEO Suite: Image Optimizer|TinyIMG SEO & Image Optimizer|Alt Text
amazon,355,192,163,4.46,252.0,"Spreadr App ‑ Amazon Importer|Amazon, eBay, Google & Walmart|AmaZone DropShipper + Walmart"
amazon fba,135,66,69,4.3,124.0,Amazon FBA Shipping|Connectr for Amazon | FBA |Shipr for Amazon FBA
amazon reviews,306,156,150,4.22,677.0,Amazon Reviews Ali Reviews App|Areviews ‑  Reviews Importer|AliReviews ‑ Ali Reviews App
amazon channel,131,68,63,4.22,505.0,"Amazon channel|Amazon, eBay, Google & Walmart|Amazon FBA Shipping"
amazone,355,192,163,4.47,263.0,"AmaZone DropShipper + Walmart|Spreadr App ‑ Amazon Importer|Amazon, eBay, Google & Walmart"
amazon affiliate,168,89,79,4.35,293.0,EniMoh ‑ Amazon Importer|Spreadr App ‑ Amazon Importer|Linkify ‑ Amazon Importer
amazon import,362,204,158,4.37,213.0,Spreadr App ‑ Amazon Importer|Amazon Import|EniMoh ‑ Amazon Importer
amazon pay,295,161,134,4.05,124.0,Hide Amazon Pay in Cart|Terms and Conditions Checkbox|One Click Upsell ‑ Zipify OCU
ambassador,47,25,22,4.48,421.0,Ambassador & Affiliate Portal|Secomapp: Affiliate Marketing|POWR Wholesale Ambassador Form
amp,754,347,407,4.36,254.0,AMP by Shop Sheriff|Fire AMP|Superchargify AMP & more
analytics,1039,588,451,4.81,184.0,Profitario ‑ Profit Analytics|Lifetimely: Profit & LTV|Digital Ads & Store Analytics
animation,297,150,147,4.76,61.0,Add To Cart Button Animation|Magical Browser Tab Animations|Animated Sidebar & Banner
announcement bar,245,167,78,4.87,303.0,Quick Announcement Bar|All Announcement Bars & Banner|Multi Announcement Bar
announcement,196,130,66,4.86,311.0,Quick Announcement Bar|All Announcement Bars & Banner|Multi Announcement Bar
aop,855,407,448,4.65,999.0,AOP+ Easy Print on Demand|PrintHolo: AOP+Print On Demand|JetPrint: All Print On Demand
api,1235,606,629,4.5,226.0,Instagram Feed & Slider Pro  |WhatsApp Business API & more|Section Feed ‑ Instagram Feed
appointment,59,33,26,4.67,61.0,Sesami: Appointment Booking|Tipo Appointment Booking|Appointment Booking ‑ Appointo
apple pay,884,428,456,4.49,242.0,Apple Business Chat|VITALS | 40+ Apps in One|Plobal ‑ Mobile App Builder
apple business chat,918,444,474,4.6,322.0,Apple Business Chat|JivoChat Live Chat|YourDesign
apparel,95,70,25,4.16,278.0,ApparelPop!: Dropship Apparel|Apliiq ‑ Print On Demand|Kin Custom
aramex,25,18,7,4.21,72.0,Aramex ‑ shipping app|Returns & Shipping Automation|ShipStation
areviews,171,103,68,4.77,1426.0,Areviews ‑  Reviews Importer|Ryviu Product Reviews App & QA|Editorify ‑ Product Reviews
arrive,177,106,71,4.62,153.0,New Arrivals|Newr|Flair Product Badges & Banners
art of where,460,260,200,4.73,647.0,Art of Where ‑ Print on demand|Where's My Order?|Slide Cart ‑Sticky Cart Drawer
art,518,305,213,4.33,449.0,Art of Where ‑ Print on demand|Picanova: Print‑on‑Demand|Painterest ‑ Print On Demand
auction,52,27,25,4.36,112.0,Product Auction|Tipo Product Auction|eBay
australia post,245,129,116,4.37,190.0,Australia Post Shipping|Australia Post MyPost Business|Australia Post Rates & Labels
automatic discount,627,314,313,4.44,329.0,Automatic Discounts & Gifts|Automatic Discount Code Links|KartDiscount ‑ Coupon on Cart
automatic discounts,627,314,313,4.44,329.0,Automatic Discounts & Gifts|Automatic Discount Code Links|KartDiscount ‑ Coupon on Cart
auto currency switcher,442,225,217,4.76,842.0,Auto Currency Switcher|Translate & Currency Converter|Dynamic Currency Converter 
auto currency,437,223,214,4.75,800.0,Auto Currency Switcher|Translate & Currency Converter|MULTI CURRENCY CONVERTER HERO
automation,1461,822,639,4.7,250.0,"Automizely Email, Sales Pop Up|Order Tags and Automation|Arigato Automation"
auto discount,565,290,275,4.77,450.0,Auto Discount: Welcome Voucher|PointsKit: Rewards & Referrals|Stream Pop Up & Boost Sales
avalara,0,1,2,3.03,110.0,Avalara TrustFile|Quickbooks Desktop Sync|Xero Integration by Bold
avis,225,124,101,4.8,822.0,Reputon Customer Reviews App|Judge.me Product Reviews|Loox Product Reviews & Photos
aweber,122,63,59,4.63,178.0,AWeber Email by Combidesk|AWeber Custom Popup|Secomapp: Promotion Popup
bee,48,20,28,4.27,82.0,"Bees Store Duplicator & COPY|Badges Bee, Product Badges|Referral Bee"
best currency converter,570,298,272,4.74,785.0,BEST Currency Converter|Auto Currency Switcher|Currency Converter Box ‑ BEST
best currency,210,104,106,4.75,798.0,BEST Currency Converter|Auto Currency Switcher|Currency Converter Box ‑ BEST
bespoke,0,10,9,4.52,73.0,Bespoke Shipping|CustomCat ‑ Print‑On‑Demand|Venn Apps ‑ Mobile App
bespoke shipping,632,385,247,4.71,706.0,Bespoke Shipping|Shipping Rates Calculator Plus|Free Shipping Bar
better shipping,730,425,305,4.62,698.0,Better Shipping|Smart Zipcode Validator|BBA Mastro Integration
better reports,383,208,175,4.63,246.0,Better Reports|Easy Tagging|BeProfit Profit Calc & Reports
better coupon,193,91,102,4.7,202.0,"ONE+ Sales Pop Ups, SMS, Email|Email Pop up Spin Wheel Popups|Better Reports"
bfcm,61,33,28,4.75,1034.0,Daily Deals: BFCM Flash Sales|Announcement Bar + Web Push|PushOwl Web Push Notification
bigbuy,0,5,1,3.67,156.0,BigBuy ‑ Dropshipping carriers|Syncee ‑ Global Dropshipping|ApiDrop
big buy,130,70,60,4.49,114.0,BigBuy ‑ Dropshipping carriers|Buy Me ‑ Buy Button|Buy Button channel
bing,118,54,64,4.65,324.0,FeedAPIs For Bing Shopping /MS|Bing Shopping|Muzaara Bing Shopping Feed
bing shopping,776,435,341,4.7,277.0,FeedAPIs For Bing Shopping /MS|Bing Shopping|Muzaara Bing Shopping Feed
birthday,62,36,26,4.64,561.0,Happy Birthday Email Discounts|Gratisfaction|ReConvert Upsell & Cross Sell
bitcoin,0,7,2,4.08,1209.0,Translate & Currency Converter|BEST Currency Converter|Dynamic Currency Converter 
black friday,213,121,92,4.84,565.0,Supercharge Black Friday Sales|Animated Sidebar & Banner|Sales Pop up ‑ Conversion Pro
blog,318,141,177,4.48,313.0,Shogun Landing Page Builder|DropInBlog ‑ SEO Friendly Blog|Related Blog Posts
block,199,84,115,4.41,222.0,Block Redirect Users Ultimate|Blocky: Simple Country Blocker|Blockade
blogs,318,141,177,4.61,301.0,Shogun Landing Page Builder|DropInBlog ‑ SEO Friendly Blog|Related Blog Posts
bogo,48,22,26,4.53,834.0,Free Gifts BOGO buy x get y|Discounted Upsells & BOGO|VITALS | 40+ Apps in One
bold,140,59,81,4.43,676.0,Bold Subscriptions|Bold Product Options|Quickbooks Sync by Bold
bold upsell,209,103,106,4.47,543.0,Bold Upsell ‑ True upsells!|HoneyApps Upsell & Cross Sell|Discounted Upsells & BOGO
bold cashier,88,44,44,4.35,433.0,Gift Cards & Loyalty Program|Bespoke Shipping|Sweet Order Bump
bold discount,269,135,134,4.52,466.0,Bold Discounts ‑ The Sale App|Unlimited Bundles & Discounts|Bulk Discount & Price Editor
bold discounts,269,135,134,4.5,488.0,Bold Discounts ‑ The Sale App|Unlimited Bundles & Discounts|Bulk Discount & Price Editor
bold brain,54,21,33,4.35,413.0,Bold Brain ‑ AI for your store|Bold Upsell ‑ True upsells!|Bold Bundles ‑ Product Bundles
bold bundles,124,53,71,4.43,430.0,Bold Bundles ‑ Product Bundles|MBC Bundles ‑ Bundle Products|Stackable Discounts
bold quantity breaks,126,57,69,4.39,412.0,Bold Quantity Breaks|Quantity Breaks & Discounts|QD (Quantity Breaks/Discounts)
bold subscription,96,43,53,4.67,368.0,Bold Subscriptions|Lifetimely: Profit & LTV|LiveRecover SMS Cart Recovery
bold bundle,124,53,71,4.5,423.0,Bold Bundles ‑ Product Bundles|MBC Bundles ‑ Bundle Products|Stackable Discounts
bonanza,0,2,6,4.09,167.0,Bonanza Integration|Importify ‑ Easy Dropshipping|Aliexpress Dropshipping & More
boost sales,1065,568,497,4.91,974.0,Ultimate Sales Boost|Ali Reviews ‑ Product Reviews|Stamped.io Product Reviews UGC
booking,179,107,72,4.56,73.0,Sesami: Appointment Booking|Tipo Appointment Booking|Appointment Booking ‑ Appointo
booster,347,182,165,4.68,651.0,ModeMagic Badges: Sale Booster|Booster: EU Cookie Bar GDPR|Booster: Page Speed Optimizer
boost,1192,666,526,4.75,1505.0,Ultimate Sales Boost|Super Effects ‑ Holiday Boost|Booster: Page Speed Optimizer
book,181,107,74,4.56,73.0,Sesami: Appointment Booking|Tipo Appointment Booking|Appointment Booking ‑ Appointo
booster apps,978,463,515,4.58,639.0,SEO Optimizer: All‑in‑one SEO|Abandoned Cart Recovery Hero|Booster: EU Cookie Bar GDPR
bookthatapp,0,1,2,4.7,111.0,BookThatApp|BookedUp|Booking App by Webkul
boost sale,1065,568,497,4.91,974.0,Ultimate Sales Boost|Ali Reviews ‑ Product Reviews|Stamped.io Product Reviews UGC
bot,156,70,86,4.65,348.0,Hustline: Customer Service Bot|Reporty: A Better Slack Bot|Loop CyberSecurity Bot Protect
bought together,70,30,40,4.83,313.0,Frequently Bought Together|Frequently Bought Together PRO|Zoorix ‑ Upsell & Cross Sell
boxify,65,31,34,4.66,40.0,Boxify|Custom Fields|Arigato Automation
box,512,257,255,4.62,344.0,Gift Box — Free Gifts Purchase|Currency Converter Box ‑ BEST|Box Builder
brand,1420,848,572,4.32,215.0,EPROLO‑Dropshipping & Branding|Tiksuper Dropshipping&Branding|Spify Shop by Brand
brands,1420,848,572,4.36,239.0,EPROLO‑Dropshipping & Branding|Tiksuper Dropshipping&Branding|ParcelPanel Order Tracking Pro
builder,438,203,235,4.61,632.0,PageFly Landing Page Builder|LayoutHub Easy Page Builder|GemPages Flexible Page Builder
bulk discount,312,160,152,4.55,340.0,Bulk Discount Code Generator|BD Bulk Discount Price Editor|Bulk Discounts Now
bulk edit,254,140,114,4.69,407.0,Bulk Edit Tags by Power Tools|Excel Like Product Bulk Edit|Bulk Product Edit & CSV import
bulk,640,356,284,4.62,206.0,Bulk Product Edit & CSV import|Ablestar Bulk Product Editor|Bulk Discount & Price Editor
bulk discounts,312,160,152,4.55,340.0,Bulk Discounts Now|Bulk Discount Code Generator|BD Bulk Discount Price Editor
bulk editor,197,95,102,4.73,195.0,Metafields Guru|Products Bulk Editor|Bulk Product Edit & CSV import
bulk price,288,118,170,4.6,113.0,Bulk Price Editor by Buymaxx|Pro Bulk Price Editor|Bulk Price Editor & Discounts
bulk product edit,1386,686,700,4.66,250.0,Bulk Product Edit & CSV import|Shoptopus ‑ Bulk Product Edit|Multichannel Importer
bulk discount manager,548,253,295,4.73,351.0,Bulk Discount & Price Editor|BD Bulk Discount Price Editor|Bulk Discount & Sales Manager
bulk image edit,366,190,176,4.55,403.0,Bulk Image Edit ‑ Image SEO|SEO King|Easy Watermarks
bundle,237,106,131,4.75,350.0,Bundle Bear ‑ Volume Discount|UFE Cross Sell & Upsell Bundle|Bundler ‑ Product Bundles
bundles,237,106,131,4.75,350.0,Bundler ‑ Product Bundles|Bundle Bear ‑ Volume Discount|VITALS | 40+ Apps in One
bundle products,1271,614,657,4.51,258.0,Bundle Products and Discounts|MBC Bundles ‑ Bundle Products|Bundle Products | PickyStory
bundle upsell,206,104,102,4.63,235.0,Zoorix ‑ Upsell & Cross Sell|UFE Cross Sell & Upsell Bundle|Upsell Cross‑Sell Smart Tool
burst,0,1,2,4.97,84.0,Flair Product Badges & Banners|Best Sellers ‑ Insights & more|EasyTeam POS & Web Time Clock 
button,1322,685,637,4.67,103.0,"Buy Button channel|Buy Me ‑ Buy Button|Pinterest ""Pin It"" Button"
buy button,211,102,109,4.71,162.0,Buy Button channel|Buy Me ‑ Buy Button|Instant Checkout ‑ Buy button 
buy now,305,152,153,4.72,286.0,Sticky Add To Cart + Buy Now|BNB APP: Amazon Buy Now Button|Sticky Add To Cart + Buy Now
buy one get one,638,295,343,4.51,809.0,"Free Gifts BOGO buy x get y|ONE+ Sales Pop Ups, SMS, Email|Bold Bundles ‑ Product Bundles"
buy x get y,464,216,248,4.44,303.0,"Free Gifts BOGO buy x get y|Discounted Upsells & BOGO|ONE+ Sales Pop Ups, SMS, Email"
buy me,113,56,57,4.7,160.0,Buy Me ‑ Buy Button|Ask to Buy ‑ Cart as registry|Sticky Cart&Sticky Add to Cart
buy,1176,614,562,4.69,231.0,Free Gifts BOGO buy x get y|Buy Button channel|Buy Me ‑ Buy Button
buzzfeed,0,1,5,4.56,58.0,Categories Uncomplicated|Category Breadcrumbs|Floating Category List
bytestand,0,0,4,4.58,115.0,Amazon FBA Shipping|Amazon Import|FreshCredit
chat,620,361,259,4.67,425.0,Whatsapp Chat + Abandoned Cart|Shopify Chat|Tidio ‑ Live Chat & Chatbots
charity,50,35,15,4.7,39.0,Sales CountUp|Sell & Care Charity & Donation|Donation and Charity Widget
chatbot,60,39,21,4.84,116.0,"Tidio ‑ Live Chat & Chatbots|Live Chat, ChatBot, Cart Saver|Live Chat, Chatbot, Messenger+"
chatra,143,84,59,4.7,369.0,"Live Chat, ChatBot, Cart Saver|Whatsapp Chat + Abandoned Cart|WhatsApp Chat + Abandoned Cart"
chat bot,230,124,106,4.84,142.0,"Live Chat, ChatBot, Cart Saver|Live Chat, Chatbot, Messenger+|Gobot ‑ AI Chatbot + Quiz"
checkout,967,469,498,4.75,416.0,Fast Checkout In One Click|Instant Checkout ‑ Buy button |One‑Click Checkout
checkout timer,379,179,200,4.68,171.0,Sales Countdown Timer Bar 2.0|POWR Countdown Timer|HoneyApps Upsell & Cross Sell
checkout upsell,281,135,146,4.62,223.0,"Post Purchase Checkout Upsell|BOGO: In Cart, Checkout Upsell|AfterSell Post Purchase Upsell"
checkout booster,428,212,216,4.74,425.0,Add‑To‑Cart & Checkout BOOSTER|Carti Abandoned Cart Recovery|MultiBuy Sales Booster
chinabrands,0,2,2,4.23,232.0,Chinabrands Dropshipping APP|Editorify ‑ Product Reviews|Importify ‑ Easy Dropshipping
christmas,94,47,47,4.78,358.0,Christmas Calendar Sale Boost|Christmas deals calendar|White Christmas
clickfunnels,0,4,8,4.52,396.0,Clickfunnels Integration App|Shogun Landing Page Builder|AfterSell Post Purchase Upsell
clipman,0,3,2,5.0,40.0,Climate Friendly Cart|Plant Trees for Climate Action|1PLANET Carbon Offset
click and collect,403,186,217,4.42,78.0,Store Pickup Click and Collect|Alpaca Local Pickup & Delivery|In Store Pickup Local Delivery
click funnels,228,109,119,4.62,171.0,Clickfunnels Integration App|AfterSell Post Purchase Upsell|Booster: Discounted Upsells
click funnel,228,109,119,4.62,171.0,AfterSell Post Purchase Upsell|Booster: Discounted Upsells|Clickfunnels Integration App
clothing,96,63,33,4.26,171.0,BF Size Charts & Size Guides|JetPrint: All Print On Demand|Size Chart ‑ Clothes Fit Guide
clothes,96,63,33,4.26,171.0,Size Chart ‑ Clothes Fit Guide|BF Size Charts & Size Guides|JetPrint: All Print On Demand
codisto,0,1,2,4.73,158.0,"Amazon, eBay, Google & Walmart|Zonify ‑ Amazon Dropshipping|Accounting, Tax & Data Reports"
cod,241,137,104,4.26,132.0,COD Order Verification|LeadForm: COD ‑ Order Form|COD Order Confirmation
code,2055,995,1060,4.83,253.0,"Bulk Discount Code Generator|Discount Code, Discount Pop Up|Dcode ‑ Discount codes in Cart"
coffee,39,23,16,4.62,51.0,Dripshipper: US Dropshipping|Coffee Roasting Schedule|Custom Fields
coin,0,18,2,4.62,187.0,Coin Currency Converter|Translate & Currency Converter|Quest Hunt Email Popup Game
collection,1560,794,766,4.69,72.0,Collection Sort |Collection Manager|Collection Merchandiser
collections,1560,794,766,4.69,277.0,Collection Sort |Collection Manager|Advanced Collections
collection filter,318,142,176,4.65,207.0,Collection Filter & Search Bar|Collection Filter by Supple|Product Filter & Search
color swatch,175,75,100,4.53,157.0,GVariant: Image + Color Swatch|Variants Options Swatch King|Variant Custom Product Options
color,1035,523,512,4.52,150.0,GVariant: Image + Color Swatch|Variants Options Swatch King|Variant Custom Product Options
collective fab,411,205,206,4.67,265.0,EasySlide Accordion tabs & FAQ|Product Description Tabs & FAQ|Collection Sort 
coming soon,312,170,142,4.55,501.0,Pre‑launcher / Coming soon|Coming Soon Products Preorders|PageFly Landing Page Builder
comments,340,173,167,4.79,787.0,Checkout Comments|POWR Comments + Reviews|SoldLive: FB Comment Selling 
compass,63,35,28,3.92,287.0,Image Optimizer + Compression|Comparable ‑ Compare Products|Quick Compare
compress,56,35,21,4.2,640.0,Image Optimizer + Compression|Bulk Image Edit ‑ Image SEO|Image Optimizer & Compression
compare,315,182,133,4.32,455.0,"CustomerMeta, Wishlist Compare|Quick Compare|Product Compare"
commission,132,78,54,4.76,448.0,Sales Reps Commission Manager|Spreadr App ‑ Amazon Importer|BNB APP: Amazon Buy Now Button
conversio,178,92,86,4.42,1530.0,"Newsletter ‑ Email Marketing|Privy ‑ Pop Ups, Email, & SMS|SmartrMail Email Marketing"
contact us,654,284,370,4.84,1111.0,Contact Us Form with Captcha|FAQ+Contact us+WhatsApp+Track|Form Builder ‑ Contact Us
contact,1138,539,599,4.73,167.0,Form Builder ‑ Contact Form|Contact Us Form with Captcha|Nerdy Contact Form Builder
contact form,525,270,255,4.59,175.0,Form Builder ‑ Contact Form|Nerdy Contact Form Builder|Contact Form Builder ‑ FREE
consistent cart,504,278,226,4.69,880.0,Consistent Cart ‑ Abandon Cart|FREE Abandoned Cart ‑ FB Chat|Abandoned Cart Recovery Email
conversion,1824,987,837,4.73,638.0,Justuno Pop Ups & Conversion|Pixel Conversion Pro Facebook|Product Filter & Search
cookie,94,56,38,4.63,526.0,Booster: EU Cookie Bar GDPR|GDPR/CCPA + Cookie Management|Ultimate GDPR EU Cookie Banner
cookies,94,56,38,4.61,500.0,Booster: EU Cookie Bar GDPR|GDPR/CCPA + Cookie Management|EU GDPR Cookies Notification
cookie banner,98,62,36,4.61,281.0,Ultimate GDPR EU Cookie Banner|Booster: EU Cookie Bar GDPR|Enzuzo: Data Privacy & Trust
cookie bar,231,162,69,4.71,414.0,Booster: EU Cookie Bar GDPR|Easy GDPR + Cookie Bar|GDPR Cookie Bar +ePrivacy Page
correios,0,3,7,3.91,49.0,Correios ‑ SEDEX ‑ PAC|Correios ‑ SIGEP ‑ Etiquetas|Correios ‑ Cotação PAC/SEDEX
countdown,224,123,101,4.63,784.0,Countdown Timer Bar|Sales Pop Master ‑ Countdown|Ultimate Sales Boost
countdown timer,362,186,176,4.63,772.0,Countdown Timer Bar|Ultimate Sales Boost|Countdown Timer Ultimate
coupon,398,223,175,4.57,429.0,KartDiscount ‑ Coupon on Cart|Discount Pop Up + Coupon Code|Voila: Coupon Discount on Cart
counter,196,114,82,4.7,88.0,Trafficly ‑ Visitors Counter|Countly: Live Visitors Counter|Scarcity: Low Stock! Countdown
coupons,398,223,175,4.57,428.0,KartDiscount ‑ Coupon on Cart|Bulk Discount Code Generator|Discount Pop Up + Coupon Code
count,307,163,144,4.7,486.0,NEON: Display inventory count|Countly: Live Visitors Counter|Sales Countdown Timer Bar 2.0
countdown bar,268,176,92,4.6,325.0,All Announcement Bars & Banner|Multi Announcement Bar|Announcement bar & top bar
coupon code,358,183,175,4.8,1909.0,"Discount Pop Up + Coupon Code|Discount Code, Discount Pop Up|Coupon Code & Discount Pop Up"
coupon box,142,70,72,4.69,124.0,"ONE+ Sales Pop Ups, SMS, Email|Email Pop up Spin Wheel Popups|FREE Abandoned Cart ‑ FB Chat"
credit,566,292,274,4.73,857.0,AfterShip Returns Center|Gift Cards & Loyalty Program|Returns Center & Store Credit
credit card,839,435,404,4.65,548.0,Free Trust Badge Master|Ultimate Trust Badges|Mobile App Builder ‑ Vajro 
creativehub,0,1,0,4.5,52.0,creativehub
criteo,33,20,13,4.68,34.0,DataFeedWatch Shopping Feed|Shoppingfeed|Polar Analytics
crm,102,59,43,4.76,290.0,"Endear CRM and Clienteling|Customer Service & Ticket Desk|Revamp CRM (Retail, Wholesale)"
cross sell,523,306,217,4.85,394.0,ReConvert Upsell & Cross Sell|Honeycomb Upsell & Cross Sell|Zoorix ‑ Upsell & Cross Sell
cross,380,218,162,4.83,369.0,ReConvert Upsell & Cross Sell|Honeycomb Upsell & Cross Sell|Zoorix ‑ Upsell & Cross Sell
crowdfunding,0,10,7,4.62,67.0,Crowdfunder|PO (Pre‑Order Manager)|Crowdfunding Manager
crush.pics,0,1,0,4.8,836.0,Image Optimizer + Compression
crush,0,9,6,4.73,354.0,Image Optimizer + Compression|Shipping Address Validator|Ultimate Free Shipping Bar
crush pic,68,31,37,4.18,157.0,"Image Optimizer + Compression|Pinterest ""Pin It"" Button|Rush ‑ Ship, Track, Notify"
css,335,158,177,4.79,861.0,Custom CSS Editor & Minify|Custom CSS & JS|SW‑Page Speed Image Optimizer
csv,401,202,199,4.66,482.0,Bulk Product Edit & CSV import|DataChamp Excel & CSV Exports|Japan Order CSV
currency,350,173,177,4.71,799.0,BEST Currency Converter|Auto Currency Switcher|Translate & Currency Converter
currency converter,486,257,229,4.79,832.0,BEST Currency Converter|Translate & Currency Converter|MULTI CURRENCY CONVERTER HERO
currency switcher,113,58,55,4.8,910.0,Auto Currency Switcher|Secomapp: Currency Switcher|Translate & Currency Converter
currency conversion,336,187,149,4.8,511.0,Auto Multi Currency Converter|Coin Currency Converter|geolizr
customcat,0,4,2,4.4,112.0,CustomCat ‑ Print‑On‑Demand|Podify Dynamic Print on Demand|Teeinblue Product Personalizer
custom,5105,2633,2472,4.75,437.0,Flits: Customer Account Page |Product Options and Customizer|Customer Fields
customize,5105,2633,2472,4.76,467.0,Product Options and Customizer|Flits: Customer Account Page |Inkybay ‑ Product Customizer
custom fields,1205,574,631,4.76,329.0,Custom Fields|Accentuate Custom Fields|Customer Fields
customer service,1465,754,711,4.7,669.0,Customer Service & Ticket Desk|Gorgias ‑ Live Chat & Helpdesk|Hustline: Customer Service Bot
deals,363,198,165,4.64,339.0,"Daily Deals: BFCM Flash Sales|Honey: Deals, Rewards, Buyers|Spin A Deal"
delivery,798,485,313,4.63,128.0,Shopify Local Delivery|In Store Pickup Local Delivery|Store Pickup + Delivery
delivery date,466,224,242,4.4,85.0,Order Delivery Date|Delivery Date Schedule|Estimated Delivery Date Range
